threads,iteration,time
1,0,0.011781
1,1,0.011720
1,2,0.011215
1,3,0.011228
1,4,0.011409
1,5,0.012010
1,6,0.011847
1,7,0.011245
1,8,0.011738
1,9,0.011413
2,0,0.006505
2,1,0.006747
2,2,0.006938
2,3,0.006189
2,4,0.006975
2,5,0.006793
2,6,0.006774
2,7,0.006727
2,8,0.006690
2,9,0.007789
4,0,0.004202
4,1,0.004146
4,2,0.004002
4,3,0.003732
4,4,0.003910
4,5,0.004029
4,6,0.003672
4,7,0.003960
4,8,0.003536
4,9,0.003612
8,0,0.004885
8,1,0.004956
8,2,0.004203
8,3,0.004234
8,4,0.004254
8,5,0.004192
8,6,0.004221
8,7,0.004236
8,8,0.004530
8,9,0.004217
16,0,0.005694
16,1,0.005011
16,2,0.004853
16,3,0.004337
16,4,0.004705
16,5,0.004754
16,6,0.004393
16,7,0.004927
16,8,0.004956
16,9,0.005149
