threads,iteration,time
1,0,0.015298
1,1,0.015261
1,2,0.015204
1,3,0.015145
1,4,0.015141
1,5,0.015299
1,6,0.015297
1,7,0.015413
1,8,0.015365
1,9,0.015343
2,0,0.008199
2,1,0.009029
2,2,0.009148
2,3,0.009257
2,4,0.008759
2,5,0.008283
2,6,0.009078
2,7,0.008068
2,8,0.009070
2,9,0.009098
4,0,0.004953
4,1,0.004492
4,2,0.005055
4,3,0.004686
4,4,0.004992
4,5,0.004998
4,6,0.005051
4,7,0.004504
4,8,0.004692
4,9,0.004408
8,0,0.004647
8,1,0.004171
8,2,0.004208
8,3,0.004519
8,4,0.004198
8,5,0.004194
8,6,0.004242
8,7,0.004357
8,8,0.004150
8,9,0.004268
16,0,0.004344
16,1,0.004625
16,2,0.004675
16,3,0.004675
16,4,0.004546
16,5,0.004575
16,6,0.004782
16,7,0.004795
16,8,0.004840
16,9,0.004670
