threads,iteration,time
1,0,0.002998
1,1,0.002829
1,2,0.002742
1,3,0.002825
1,4,0.002787
1,5,0.002768
1,6,0.002846
1,7,0.002847
1,8,0.002745
1,9,0.002759
2,0,0.002183
2,1,0.001771
2,2,0.001774
2,3,0.001732
2,4,0.001762
2,5,0.001701
2,6,0.001713
2,7,0.001709
2,8,0.001708
2,9,0.001706
4,0,0.001223
4,1,0.001029
4,2,0.001032
4,3,0.001021
4,4,0.001006
4,5,0.000976
4,6,0.000997
4,7,0.001018
4,8,0.000954
4,9,0.000965
8,0,0.001122
8,1,0.000931
8,2,0.000891
8,3,0.000940
8,4,0.000861
8,5,0.000906
8,6,0.000887
8,7,0.000928
8,8,0.000917
8,9,0.000897
16,0,0.001541
16,1,0.001078
16,2,0.000961
16,3,0.001123
16,4,0.001061
16,5,0.001155
16,6,0.000969
16,7,0.001165
16,8,0.000931
16,9,0.001129
