threads,iteration,time
1,0,0.102475
1,1,0.103865
1,2,0.102501
1,3,0.102437
1,4,0.101317
1,5,0.101220
1,6,0.102395
1,7,0.103295
1,8,0.101148
1,9,0.100762
2,0,0.054902
2,1,0.053457
2,2,0.053480
2,3,0.052566
2,4,0.052513
2,5,0.053767
2,6,0.054509
2,7,0.053947
2,8,0.052041
2,9,0.053267
4,0,0.046149
4,1,0.031051
4,2,0.030466
4,3,0.030620
4,4,0.030612
4,5,0.031184
4,6,0.030445
4,7,0.030550
4,8,0.030553
4,9,0.030571
8,0,0.059358
8,1,0.056280
8,2,0.058747
8,3,0.056318
8,4,0.057791
8,5,0.056629
8,6,0.055279
8,7,0.057752
8,8,0.055837
8,9,0.055931
16,0,0.150941
16,1,0.146584
16,2,0.155345
16,3,0.149343
16,4,0.144915
16,5,0.145800
16,6,0.144542
16,7,0.149658
16,8,0.147718
16,9,0.148301
