ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000003259,0.000002469
4,0.000003722,0.000002606
8,0.000003650,0.000001826
16,0.000021934,0.000012558
32,0.000118119,0.000088175
64,0.000730334,0.000603283
128,0.005190406,0.004708180
256,0.039038238,0.037095841
512,0.283599782,0.275767203
1024,2.230014324,2.199457487
2048,18.154321894,18.031379457
4096,143.769336204,143.283532574
