ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000000986,0.000000245
4,0.000002031,0.000000421
8,0.000003277,0.000001421
16,0.000018507,0.000009852
32,0.000111317,0.000079267
64,0.000725915,0.000592272
128,0.005231480,0.004730726
256,0.041393996,0.039418034
512,0.373281273,0.365310963
1024,3.255137701,3.224230438
2048,62.066729041,61.943188061
4096,483.071744030,482.581229750
