ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001097,0.000000311
4,0.000001789,0.000000378
8,0.000003358,0.000001512
16,0.000018520,0.000010089
32,0.000111470,0.000080471
64,0.000206106,0.000077098
128,0.000580247,0.000076044
256,0.002014178,0.000077551
512,0.007969246,0.000078183
1024,0.031621532,0.000080913
2048,0.121727252,0.000083184
4096,0.484695322,0.000082681
