ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001015,0.000000221
4,0.000001854,0.000000333
8,0.000003140,0.000001337
16,0.000017604,0.000009406
32,0.000107603,0.000077859
64,0.000698894,0.000572298
128,0.005055893,0.004562083
256,0.036870291,0.034886476
512,0.278518988,0.270623584
1024,2.178137498,2.145937727
2048,17.495006741,17.373212979
4096,138.503789227,138.015575076
