ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001044,0.000000225
4,0.000001950,0.000000366
8,0.000003318,0.000001449
16,0.000018667,0.000010114
32,0.000114017,0.000082557
64,0.000749345,0.000617557
128,0.005184476,0.004687662
256,0.041367099,0.039388620
512,0.309145433,0.301069612
1024,2.697017010,2.666397712
2048,27.033611731,26.910012639
4096,229.223696471,228.737305870
