ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000035952,0.000000345
4,0.000001490,0.000000581
8,0.000010135,0.000003143
16,0.000034098,0.000021609
32,0.000212019,0.000180477
64,0.001465798,0.001337078
128,0.011050251,0.010546655
256,0.083944109,0.082035739
512,0.660102691,0.652255713
1024,5.290218976,5.258626613
2048,42.340317986,42.213866714
4096,342.236475965,341.722989612
