ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000057110,0.000006069
4,0.000003102,0.000001626
8,0.000010935,0.000007383
16,0.000051649,0.000038905
32,0.000333789,0.000287669
64,0.002261724,0.002078462
128,0.015995647,0.015280638
256,0.096572556,0.093921398
512,0.651052174,0.642898407
1024,4.581777505,4.553372132
2048,36.758280116,36.641315370
4096,293.366071531,292.899374758
