Threads,Interpolation,Normalization,Mover,Denormalization,Total,Voids
1,0.121369,0.001406,0.174255,0.000168,0.297197,1
2,0.067400,0.000720,0.100028,0.000168,0.168316,1
4,0.044741,0.000392,0.081716,0.000125,0.126974,1
8,0.053027,0.000375,0.084530,0.000139,0.138071,1
16,0.062543,0.002391,0.091249,0.001676,0.157860,1
