Threads,Interpolation,Normalization,Mover,Denormalization,Total,Voids
1,0.661422,0.001386,0.963000,0.000173,1.625982,10
2,0.352110,0.000713,0.537340,0.000164,0.890327,10
4,0.220625,0.000394,0.473249,0.000123,0.694391,10
8,0.266478,0.000310,0.484267,0.000148,0.751203,10
16,0.239872,0.003462,0.493728,0.001522,0.738584,10
