Threads,Interpolation,Normalization,Mover,Denormalization,Total,Voids
1,1.024256,0.005515,0.817656,0.000975,1.848402,0
2,0.548999,0.002718,0.439942,0.000796,0.992455,0
4,0.312311,0.001424,0.363503,0.000506,0.677745,0
8,0.642574,0.001184,0.384003,0.000529,1.028289,0
16,1.584673,0.004230,0.380744,0.001582,1.971229,0
