Threads,Interpolation,Normalization,Mover,Denormalization,Total,Voids
1,0.164461,0.000348,0.231450,0.000052,0.396310,6
2,0.088673,0.000204,0.130920,0.000059,0.219855,6
4,0.056645,0.000121,0.115047,0.000056,0.171869,6
8,0.060953,0.000108,0.118641,0.000062,0.179764,6
16,0.060235,0.002205,0.122875,0.001693,0.187008,6
